immune_id,tumor_id,score
116,0.0,2.0
117,103.0,0.6428571428571428
118,0.0,2.0
119,106.0,0.8809523809523809
120,0.0,2.0
121,0.0,2.0
122,0.0,2.0
123,0.0,2.0
124,0.0,2.0
125,0.0,2.0
126,113.0,0.9285714285714286
127,118.0,0.38095238095238093
128,0.0,2.0
129,0.0,2.0
130,0.0,2.0
131,136.0,0.11904761904761896
132,0.0,2.0
133,0.0,2.0
135,123.0,0.7142857142857142
136,99.0,0.5238095238095237
137,145.0,0.7619047619047619
138,0.0,2.0
139,117.0,1.4761904761904763
140,116.0,0.8095238095238095
141,0.0,2.0
142,124.0,1.0952380952380953
143,0.0,2.0
144,154.0,0.619047619047619
145,129.0,0.38095238095238093
146,134.0,0.4285714285714285
147,162.0,0.19047619047619035
148,126.0,0.9047619047619048
149,0.0,2.0
150,142.0,0.16666666666666652
151,0.0,2.0
152,0.0,2.0
153,0.0,2.0
154,0.0,2.0
155,139.0,0.19047619047619035
156,130.0,0.7142857142857142
157,0.0,2.0
158,0.0,2.0
159,0.0,2.0
160,156.0,0.38095238095238093
161,164.0,0.7619047619047619
162,0.0,2.0
163,132.0,0.4285714285714285
164,0.0,2.0
165,0.0,2.0
166,0.0,2.0
167,0.0,2.0
168,143.0,0.8571428571428571
169,0.0,2.0
170,0.0,2.0
171,182.0,0.16666666666666652
172,0.0,2.0
173,150.0,0.5238095238095237
174,0.0,2.0
175,137.0,0.6666666666666665
176,0.0,2.0
177,0.0,2.0
178,151.0,0.5238095238095237
179,161.0,0.3095238095238094
180,169.0,0.11904761904761896
181,0.0,2.0
182,0.0,2.0
183,159.0,0.7142857142857142
184,0.0,2.0
185,0.0,2.0
186,0.0,2.0
187,0.0,2.0
188,178.0,0.4285714285714285
189,0.0,2.0
190,0.0,2.0
191,0.0,2.0
192,0.0,2.0
193,0.0,2.0
194,0.0,2.0
195,0.0,2.0
196,0.0,2.0
197,207.0,0.47619047619047605
198,171.0,0.8095238095238095
199,167.0,0.619047619047619
200,0.0,2.0
201,181.0,0.2142857142857142
202,0.0,2.0
203,0.0,2.0
204,0.0,2.0
205,0.0,2.0
206,0.0,2.0
207,192.0,0.26190476190476186
208,0.0,2.0
209,0.0,2.0
210,176.0,0.19047619047619035
211,0.0,2.0
212,0.0,2.0
213,196.0,0.40476190476190466
214,0.0,2.0
215,175.0,0.38095238095238093
216,0.0,2.0
217,184.0,0.738095238095238
218,189.0,0.8095238095238095
219,216.0,0.4285714285714285
220,0.0,2.0
221,222.0,0.33333333333333315
222,240.0,0.2142857142857142
223,0.0,2.0
224,0.0,2.0
225,0.0,2.0
226,225.0,0.5952380952380951
227,194.0,0.33333333333333315
228,183.0,0.9761904761904762
229,221.0,1.0476190476190477
230,219.0,0.40476190476190466
231,223.0,0.23809523809523792
232,0.0,2.0
233,203.0,0.6428571428571428
234,191.0,0.33333333333333315
236,199.0,1.3333333333333335
237,233.0,0.7142857142857142
238,215.0,0.4999999999999999
239,230.0,0.5952380952380951
240,0.0,2.0
241,227.0,0.23809523809523792
242,0.0,2.0
243,0.0,2.0
244,206.0,0.45238095238095233
245,214.0,0.9761904761904762
246,0.0,2.0
247,0.0,2.0
248,0.0,2.0
249,0.0,2.0
250,0.0,2.0
251,243.0,0.40476190476190466
252,242.0,1.0952380952380953
253,0.0,2.0
254,0.0,2.0
255,0.0,2.0
256,238.0,0.3095238095238094
257,0.0,2.0
258,0.0,2.0
259,0.0,2.0
260,0.0,2.0
261,0.0,2.0
262,0.0,2.0
263,269.0,1.1666666666666667
264,0.0,2.0
265,247.0,0.4999999999999999
266,0.0,2.0
267,254.0,0.33333333333333315
268,245.0,0.8095238095238095
269,263.0,0.33333333333333315
270,257.0,0.3095238095238094
271,259.0,0.45238095238095233
272,290.0,0.47619047619047605
273,268.0,0.7142857142857142
274,0.0,2.0
275,0.0,2.0
276,0.0,2.0
277,285.0,0.3095238095238094
278,278.0,0.09523809523809523
279,0.0,2.0
280,0.0,2.0
281,0.0,2.0
282,0.0,2.0
283,0.0,2.0
284,248.0,0.3095238095238094
285,276.0,0.9761904761904762
286,0.0,2.0
287,0.0,2.0
288,301.0,0.7142857142857142
289,280.0,0.7142857142857142
290,0.0,2.0
291,270.0,0.2857142857142856
292,0.0,2.0
293,0.0,2.0
294,0.0,2.0
295,304.0,0.7619047619047619
296,0.0,2.0
297,294.0,0.5238095238095237
298,279.0,0.6904761904761905
299,0.0,2.0
300,293.0,0.40476190476190466
301,262.0,0.3571428571428571
302,0.0,2.0
303,0.0,2.0
304,319.0,0.40476190476190466
305,0.0,2.0
306,321.0,0.45238095238095233
307,0.0,2.0
308,286.0,0.5714285714285714
309,310.0,0.619047619047619
310,299.0,0.3571428571428571
311,302.0,0.45238095238095233
312,0.0,2.0
313,0.0,2.0
314,0.0,2.0
315,316.0,0.6428571428571428
316,326.0,0.26190476190476186
317,314.0,0.07142857142857129
318,306.0,1.0238095238095237
319,0.0,2.0
320,283.0,0.5714285714285714
321,303.0,0.5952380952380951
322,0.0,2.0
323,350.0,0.6904761904761905
324,311.0,0.2857142857142856
325,325.0,0.09523809523809523
326,0.0,2.0
327,0.0,2.0
328,338.0,0.8333333333333333
329,328.0,0.09523809523809523
330,0.0,2.0
331,313.0,1.0476190476190477
332,360.0,0.5952380952380951
333,333.0,0.6666666666666665
334,0.0,2.0
335,0.0,2.0
336,364.0,0.07142857142857129
337,336.0,0.4285714285714285
338,348.0,0.5238095238095237
339,0.0,2.0
340,365.0,0.45238095238095233
341,0.0,2.0
342,345.0,0.1428571428571428
343,318.0,1.0
344,0.0,2.0
345,352.0,0.6904761904761905
346,334.0,0.23809523809523792
347,0.0,2.0
348,0.0,2.0
349,0.0,2.0
350,0.0,2.0
351,0.0,2.0
352,363.0,0.45238095238095233
353,346.0,1.619047619047619
354,0.0,2.0
356,335.0,0.738095238095238
357,323.0,0.2857142857142856
358,0.0,2.0
359,0.0,2.0
360,0.0,2.0
361,358.0,0.07142857142857129
362,354.0,0.619047619047619
363,366.0,0.5952380952380951
364,0.0,2.0
365,0.0,2.0
366,0.0,2.0
367,0.0,2.0
368,362.0,0.47619047619047605
369,0.0,2.0
370,343.0,1.0952380952380953
371,0.0,2.0
372,372.0,1.666666666666667
373,0.0,2.0
374,0.0,2.0
375,0.0,2.0
376,0.0,2.0
377,0.0,2.0
378,405.0,0.33333333333333315
379,413.0,0.38095238095238093
380,0.0,2.0
381,0.0,2.0
382,0.0,2.0
383,376.0,0.40476190476190466
384,0.0,2.0
385,409.0,0.40476190476190466
386,0.0,2.0
387,386.0,0.5952380952380951
388,0.0,2.0
389,415.0,0.2857142857142856
390,0.0,2.0
391,383.0,0.47619047619047605
392,391.0,0.738095238095238
393,0.0,2.0
395,0.0,2.0
396,390.0,1.0476190476190477
397,0.0,2.0
398,425.0,0.619047619047619
399,0.0,2.0
400,0.0,2.0
401,401.0,0.619047619047619
402,399.0,0.19047619047619035
403,382.0,0.7142857142857142
404,392.0,0.40476190476190466
405,0.0,2.0
406,0.0,2.0
408,378.0,0.04761904761904756
409,0.0,2.0
410,0.0,2.0
411,408.0,0.6904761904761905
412,429.0,0.09523809523809523
413,416.0,0.19047619047619035
414,428.0,0.023809523809523725
415,0.0,2.0
416,0.0,2.0
417,0.0,2.0
418,434.0,0.11904761904761896
419,0.0,2.0
420,459.0,1.0714285714285714
421,0.0,2.0
422,423.0,0.5238095238095237
423,0.0,2.0
424,0.0,2.0
425,0.0,2.0
426,0.0,2.0
427,436.0,0.19047619047619035
428,453.0,0.11904761904761896
429,438.0,0.40476190476190466
430,0.0,2.0
431,427.0,0.38095238095238093
432,452.0,0.5714285714285714
433,0.0,2.0
434,451.0,0.3095238095238094
436,441.0,0.7857142857142857
437,400.0,0.5714285714285714
438,0.0,2.0
439,0.0,2.0
440,414.0,0.9285714285714286
441,449.0,0.47619047619047605
442,407.0,0.3095238095238094
443,457.0,0.11904761904761896
444,0.0,2.0
445,0.0,2.0
446,0.0,2.0
447,0.0,2.0
448,0.0,2.0
449,0.0,2.0
450,0.0,2.0
451,0.0,2.0
452,0.0,2.0
453,0.0,2.0
454,0.0,2.0
455,0.0,2.0
456,444.0,0.16666666666666652
457,467.0,0.7857142857142857
458,0.0,2.0
459,476.0,0.4999999999999999
460,431.0,0.5238095238095237
