CellID,CD3,Vimentin,aSMA,Ecad,Ki67,CD45,CK14,CK19,CK17,PCNA,PanCK,CD31,cross_cluster,x,y,cell_type_tumor
7732,0.5599659791294108,0.4375673718883037,0.3246088727868768,0.6072023414387988,0.2208690079467393,0.4210676059869295,0.4034080225873008,0.7579282095503118,0.5831209591721617,0.5013127662775044,0.7775511879888238,0.1533591822084301,Proliferative Epithelial,1493.4789915966387,2239.659663865546,Proliferative Epithelial
7733,0.6628355480366879,0.4544513503302477,0.3252886988462193,0.6353684583847095,0.2371255827351296,0.4345238854639093,0.4635284164384714,0.7703755551797322,0.514004749802016,0.6457502900968649,0.7853952113016729,0.1442067242877383,Proliferative Epithelial,1463.75,642.8571428571429,Proliferative Basal Epithelial
7735,0.678268767157782,0.6043472126661905,0.3834534940768548,0.4809120609001305,0.260229369519917,0.5605029104397512,0.4614908573931798,0.5116269230640956,0.5403017775477453,0.4595004938598465,0.3802139535058959,0.5355971001674997,Endothelial,1482.3373493975903,1696.4578313253012,Endothelial
7736,0.6162615476718748,0.4281762116383261,0.2992538894479469,0.6967350439574941,0.2205038836509291,0.4019891028586865,0.4030962250971323,0.7375096847018957,0.5610320137527218,0.4063367433689249,0.7938137538633429,0.1238024017811018,Epithelial,1494.931623931624,2267.290598290598,Epithelial
7738,0.6687681281254413,0.5495581371177072,0.3459577213773506,0.6882892708804779,0.2521642656746218,0.4297998442892954,0.4536893899757526,0.9338332666584104,0.5555930206090521,0.4987035897167877,0.9264258378420176,0.1312733655850966,Epithelial,1476.7692307692307,1367.8956043956043,Basal Epithelial
7740,0.4994196361353747,0.6746141294388516,0.3357841061752629,0.6367140078702995,0.3845305629645889,0.4178116350920575,0.4691565762413563,0.8122682242008931,0.5359808550039886,0.6146170715752751,0.8526024389136094,0.1424747156444477,Proliferative Epithelial,1486.8490566037735,1854.1415094339625,Proliferative Basal Epithelial
7742,0.5089081233230548,0.411284769270675,0.2663582227495596,0.667983482158718,0.7588884808963645,0.4304863385392867,0.4189234759470741,0.8612867590113581,0.513159818128413,0.658780821745872,0.870084102006246,0.1208970186920658,Proliferative Epithelial,1489.3591549295777,2068.795774647888,Proliferative Epithelial
7747,0.4515641654798177,0.9288123179974084,0.3408122189447122,0.4559077870347059,0.6412880038803882,0.5418829357571349,0.4393518268637894,0.5174410190842439,0.5137242339862664,0.737267270777335,0.4029188900899845,0.4102420488848798,Stroma,1487.7222222222222,1897.4814814814813,Proliferative Epithelial
7748,0.6633965435043376,0.4532884845301309,0.3523208849033024,0.5549074167734945,0.1672421370668631,0.3474203717651445,0.3680169929953937,0.7911595132583458,0.5742096634307707,0.4390321803536295,0.8035295426691137,0.1612085887810907,Epithelial,1456.6016597510372,234.69294605809128,Epithelial
7749,0.9960616286144652,0.5842083564961075,0.3067805875796612,0.6469006390107139,0.2587855166536471,0.5638752270373368,0.4603950069805191,0.8899193085126441,0.7096960841464532,0.5638160170097579,0.885080612924213,0.1895358553823058,Basal Epithelial,1470.7865168539329,795.6516853932584,Basal Epithelial
