,subject,frequency,panel,cell_type,label_origin
119,51,8,Tumor,Proliferative Epithelial,Propagated
120,52,6,Tumor,aSMA+ Stroma,Propagated
121,53,6,Tumor,Regulatory T-cells,Propagated
122,54,5,Tumor,Proliferative Basal Epithelial,Propagated
123,55,4,Tumor,Macrophages,Propagated
124,56,3,Tumor,aSMA+ Stroma,Propagated
125,57,3,Tumor,B-cells,Propagated
126,58,2,Tumor,Myoepithelial,Propagated
127,59,2,Tumor,Endothelial,Propagated
128,60,2,Tumor,CD8+ T-cells,Propagated
129,61,2,Tumor,Macrophages,Propagated
130,62,1,Tumor,Proliferative Epithelial,Propagated
131,63,1,Tumor,Myoepithelial,Propagated
132,64,1,Tumor,B-cells,Propagated
133,65,1,Tumor,CD163+ Macrophages,Propagated
134,66,1,Tumor,Basal Epithelial,Propagated
135,67,1,Tumor,Regulatory T-cells,Propagated
