,immune_id,tumor_id,score
242,403,457,0.40476190476190466
243,404,354,0.33333333333333315
244,405,411,0.2857142857142856
245,406,473,0.6904761904761905
246,409,394,0.3095238095238094
247,412,434,0.3095238095238094
248,415,392,0.26190476190476186
249,416,509,0.3571428571428571
250,419,466,0.2142857142857142
251,420,408,0.5476190476190477
252,421,433,0.3095238095238094
253,424,470,0.2857142857142856
254,425,534,0.33333333333333315
255,426,447,0.4285714285714285
256,427,506,0.5714285714285714
257,432,488,0.33333333333333315
258,434,435,0.9761904761904762
259,437,505,0.33333333333333315
260,439,483,0.1428571428571428
261,440,464,0.6428571428571428
262,443,514,0.19047619047619035
263,446,467,0.45238095238095233
264,447,445,0.2142857142857142
265,448,453,0.2142857142857142
266,451,481,0.33333333333333315
267,452,465,0.26190476190476186
268,453,553,0.9523809523809523
269,456,421,0.4999999999999999
270,457,519,0.9523809523809523
271,458,593,0.38095238095238093
272,459,482,0.5476190476190477
273,460,478,0.738095238095238
274,462,512,0.26190476190476186
275,464,474,0.5476190476190477
276,466,575,0.1428571428571428
277,467,502,0.2857142857142856
278,468,493,0.7857142857142857
279,470,430,0.45238095238095233
280,471,463,0.47619047619047605
281,472,546,0.7857142857142857
282,475,503,0.6904761904761905
283,478,561,0.3571428571428571
284,479,501,0.3095238095238094
285,480,538,0.5476190476190477
286,482,485,0.23809523809523792
287,483,549,0.23809523809523792
288,484,424,0.5238095238095237
289,487,497,0.07142857142857129
290,488,545,0.4999999999999999
291,491,536,0.07142857142857129
292,495,500,0.26190476190476186
293,496,523,0.7142857142857142
294,497,540,0.3571428571428571
295,498,565,0.2857142857142856
296,500,479,0.3095238095238094
297,501,432,0.11904761904761896
298,503,515,0.3095238095238094
299,504,437,0.2142857142857142
300,505,416,0.47619047619047605
301,506,570,0.26190476190476186
302,509,517,0.9047619047619048
303,511,617,0.47619047619047605
304,512,601,0.38095238095238093
305,514,535,0.2857142857142856
306,515,608,0.2857142857142856
307,516,547,0.26190476190476186
308,517,626,0.38095238095238093
309,519,666,0.23809523809523792
310,522,678,0.2857142857142856
311,523,552,0.40476190476190466
312,524,522,0.4999999999999999
313,526,420,0.07142857142857129
314,528,551,0.2857142857142856
315,530,566,0.33333333333333315
316,531,569,0.33333333333333315
317,532,586,0.19047619047619035
318,534,490,0.11904761904761896
319,535,486,0.4285714285714285
320,536,598,0.5476190476190477
321,538,526,0.26190476190476186
322,539,527,0.2142857142857142
323,540,594,1.0476190476190477
324,541,559,0.2857142857142856
325,544,508,0.33333333333333315
326,546,469,0.9047619047619048
327,547,533,0.5714285714285714
328,548,597,0.11904761904761896
329,549,537,0.2857142857142856
330,550,578,0.9761904761904762
331,551,605,0.2857142857142856
332,552,513,0.5714285714285714
333,557,669,0.3095238095238094
334,560,548,0.38095238095238093
335,561,599,0.40476190476190466
336,562,582,0.2142857142857142
337,565,640,1.0
338,566,613,0.09523809523809523
339,567,624,0.19047619047619035
340,568,563,0.023809523809523725
341,570,579,0.1428571428571428
342,573,562,0.26190476190476186
343,574,539,0.4999999999999999
