,CellID,DNA_1,AF488,AF555,AF647,DNA_2,Control_488,Control_555,Control_647,DNA_3,CD3,PDL1,GRZB,DNA_4,Ki67,PanCK,CD45,DNA_5,CD68,CD3d,CD8a,DNA_6,CD163,aSMA,CD14,DNA_7,CD4,FOXP3,PDL1_2,DNA_8,CD11b,pRB,PD1,DNA_9,LaminABC,PDL1_3,LAG3,DNA_10,CD20,HLA_A,MHC_II_DPB1,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,x,y
1994,2243,18701.44461538461,759.1692307692308,115.7476923076923,443.67846153846153,7687.587692307692,1428.3753846153843,192.8692307692308,656.656923076923,23337.226153846157,1619.1984615384615,433.3876923076923,972.1523076923075,14281.23076923077,16504.83846153846,31676.418461538466,891.62,8244.110769230769,1120.8507692307692,907.8215384615384,2190.4476923076923,6315.109230769231,1676.3923076923077,128.6323076923077,8290.566153846154,2190.826153846154,1441.623076923077,216.3923076923077,1201.213846153846,125.93076923076924,1042.2784615384614,411.9323076923077,1194.1046153846153,115.52615384615385,558.8015384615385,259.05538461538464,374.6492307692308,86.29538461538462,1115.4323076923076,96.3123076923077,493.2676923076923,1595.2584615384617,2088.613846153846,650,33.34270582749965,25.058885751027912,0.6596701448557102,0.9615384615384616,0.7523148148148148,-0.359011838441379,2087.6036585365855,1593.2347560975609
1995,2244,8995.621837549934,811.8069241011984,130.50199733688416,444.78828229027965,4630.552596537949,1373.347536617843,208.81890812250333,684.2210386151797,10219.170439414114,1840.4553928095872,489.7443408788282,989.7243675099868,6439.571238348868,2368.597869507324,45517.71238348868,901.28362183755,4300.800266311585,987.7563249001332,874.4114513981358,2177.318242343542,2397.2956058588547,1579.5805592543277,105.49400798934754,8244.414114513982,1245.9094540612516,1259.861517976032,171.7496671105193,1168.0772303595206,130.7842876165113,1046.7523302263648,401.80426098535287,1198.9454061251663,119.65379494007988,556.6870838881491,250.9254327563249,373.5712383488682,88.50599201065246,1116.3861517976031,97.72170439414114,481.29560585885486,890.3142476697736,2087.2743009320907,751,53.27874898144789,19.050911538373267,0.9338861291859472,0.8835294117647059,0.451051051051051,-0.6948297489231177,2089.659898477157,886.9086294416244
1996,2246,13386.342036553524,817.1749347258485,278.21148825065274,522.9634464751958,5676.331592689295,1313.7676240208878,321.1984334203655,662.1174934725849,10135.68407310705,1399.556135770235,650.1644908616188,1003.7885117493472,4648.1227154047,2647.809399477807,30253.51697127937,928.7937336814622,663.7284595300262,806.266318537859,581.1644908616188,976.4308093994778,250.9425587467363,1127.4647519582245,59.48563968668408,1500.023498694517,462.2741514360313,1217.9060052219322,214.74412532637075,1217.5691906005222,261.5378590078329,1149.0783289817232,534.7493472584856,1267.4516971279377,117.8093994778068,601.8355091383812,270.3237597911227,406.1801566579634,85.14360313315927,1032.8041775456918,89.57180156657964,448.8772845953002,2109.049608355092,2090.065274151436,383,28.587324602135222,17.365804414204636,0.7943463033231014,0.9551122194513716,0.6447811447811448,-1.0626244509293623,2089.3231441048033,2110.956331877729
1997,2247,5709.156097560976,689.1024390243903,99.69756097560976,439.5560975609756,3024.5073170731707,1088.7219512195122,171.8048780487805,553.1024390243903,7048.775609756098,2233.2536585365856,454.1317073170732,954.4829268292684,4407.804878048781,3545.243902439024,40773.785365853655,873.5170731707317,3335.268292682927,947.3463414634148,799.0780487804878,2964.151219512195,2218.878048780488,1465.2,95.90731707317072,7621.5512195121955,1410.8146341463414,1578.9317073170732,218.65365853658537,1234.1463414634147,174.9658536585366,1051.2878048780487,423.4682926829268,1224.7024390243903,119.00487804878048,499.2048780487805,244.5170731707317,310.8487804878049,89.89756097560975,1137.4243902439025,94.1951219512195,487.1609756097561,1451.2585365853658,2092.39512195122,205,18.772394169585525,14.248339644970551,0.6510848811903316,0.9360730593607306,0.7321428571428571,-0.148974586527831,2091.753623188406,1451.7391304347825
1998,2248,10828.411428571428,736.3542857142858,116.70857142857145,441.54285714285714,4983.72,1198.3257142857142,176.97142857142856,595.1314285714286,14519.691428571428,1562.4342857142858,422.89142857142855,1080.0857142857142,9969.308571428572,3141.514285714285,32342.662857142856,892.56,7525.457142857143,991.4,862.8057142857143,1902.1085714285716,7353.148571428572,1711.72,154.94285714285715,10181.548571428571,4488.674285714285,2298.2685714285712,324.89142857142855,1269.9142857142858,565.8628571428571,1064.52,486.8571428571428,1230.7942857142857,123.05142857142856,550.3371428571429,250.88571428571427,352.6114285714286,96.89142857142858,1105.2914285714285,88.42857142857143,477.4057142857143,1537.057142857143,2091.9714285714285,175,15.944255360675706,14.117101605083736,0.4648229862317402,0.9562841530054644,0.8333333333333334,1.1616160027903195,2092.5882352941176,1537.3823529411766
1999,2249,7972.495726495727,704.5876068376068,104.66239316239316,443.758547008547,3956.0705128205127,1114.7350427350427,162.74358974358975,515.7692307692307,7862.316239316239,1260.3867521367522,412.85042735042737,902.1794871794872,4115.525641025641,1006.6709401709402,38858.14316239317,865.491452991453,2164.767094017094,859.1816239316239,661.4423076923077,1356.2393162393162,181.43589743589743,1022.4423076923076,35.792735042735046,1358.5470085470083,191.57478632478632,588.8354700854701,100.08119658119658,1133.138888888889,449.02564102564105,1100.1965811965813,439.0897435897436,1290.5149572649573,162.64743589743588,550.6901709401709,259.05982905982904,391.30555555555554,95.08547008547008,1108.4380341880342,103.0982905982906,480.4123931623932,759.3611111111111,2095.491452991453,468,33.87542683393195,18.08740426458368,0.8455231358499041,0.934131736526946,0.6753246753246753,-0.3388041708813881,2092.5819209039546,758.632768361582
2000,2250,3494.301470588235,727.2720588235294,111.21323529411764,457.8161764705882,2265.3382352941176,1180.735294117647,178.68382352941177,585.5955882352941,4730.845588235294,1397.6323529411766,518.7647058823529,961.3529411764706,3452.9926470588234,3290.110294117647,45892.78676470588,884.0294117647059,2977.3382352941176,936.9485294117648,722.5955882352941,1723.6176470588234,2111.926470588235,1468.9264705882354,96.48529411764706,7494.558823529412,431.5,865.1838235294117,147.90441176470588,1171.4338235294117,791.0588235294117,1108.029411764706,456.0955882352941,1311.6691176470588,134.0,514.4852941176471,248.72794117647055,341.19117647058823,101.11764705882354,1138.5588235294117,99.9779411764706,479.9632352941176,1370.5808823529412,2094.044117647059,136,16.504895665660886,10.534800315220286,0.7698014992354792,0.9927007299270072,0.85,-0.1203026220681227,2093.1875,1370.8125
2001,2251,3315.760714285714,731.4,113.63928571428572,446.275,2270.614285714286,1127.142857142857,179.2892857142857,560.4357142857143,4459.310714285714,1418.3714285714286,426.9357142857143,931.1214285714286,3256.839285714286,2205.4607142857144,42685.7,872.9535714285714,3106.7,925.7285714285714,829.7,1710.5892857142858,2159.0642857142857,1561.821428571429,104.78214285714286,8380.282142857142,1806.3892857142855,2003.682142857143,246.22142857142856,1230.4,182.45714285714288,1051.0,418.925,1206.5392857142858,137.35714285714286,539.4892857142858,263.98571428571427,346.17857142857144,102.77142857142856,1075.2214285714283,92.44285714285714,480.41785714285714,1698.4964285714286,2094.635714285714,280,24.39040712400981,14.635045983436346,0.7999753465571522,0.958904109589041,0.7777777777777778,-0.0237788920166629,2095.387755102041,1697.3061224489795
2002,2252,13974.534210526315,816.2394736842106,131.73684210526315,446.19473684210527,5979.997368421053,1336.8947368421052,190.3078947368421,611.9763157894737,13795.286842105264,1543.8184210526315,455.0342105263158,938.3394736842104,7500.021052631579,1800.407894736842,31466.815789473683,887.0315789473684,3979.178947368421,940.0447368421052,807.5131578947369,1926.3184210526315,1973.457894736842,1420.0315789473684,88.91052631578947,5599.023684210526,364.5421052631579,792.35,134.71052631578948,1175.9315789473685,127.72368421052632,1028.2710526315789,403.59736842105264,1202.3973684210523,127.77631578947368,503.46315789473687,251.6684210526316,320.3921052631579,91.5421052631579,1103.4421052631578,99.11052631578949,474.05,1114.8052631578948,2098.136842105263,380,26.89456459479019,18.15915668289536,0.7376365214781936,0.9571788413098236,0.76,1.1002593472493598,2098.4265402843603,1115.4549763033176
2003,2253,10890.52879581152,729.4973821989529,113.51570680628272,447.9057591623037,4872.044502617801,1352.7277486910996,195.1884816753927,679.8795811518324,14321.51832460733,1604.8795811518326,491.9083769633508,1035.8664921465968,9350.664921465968,3825.285340314136,35429.82722513089,882.5785340314136,6027.94502617801,975.8586387434556,845.4136125654451,1974.9738219895287,5469.060209424084,1633.769633507853,133.24869109947645,8500.452879581151,2410.761780104712,1856.143979057592,232.2801047120419,1223.607329842932,153.4109947643979,1055.8664921465968,418.3062827225131,1225.1570680628272,128.87696335078533,541.6832460732984,252.42670157068065,335.0078534031414,99.17277486910994,1062.2068062827225,88.66753926701571,476.6570680628273,1786.0497382198953,2098.3429319371726,382,24.731163527862904,20.09136608046214,0.5831135630420723,0.929440389294404,0.6631944444444444,-0.8059447203190928,2097.4044943820227,1782.2191011235955
